filename,set,reltype,connspan,conn_raw,conn_uttid,x2,x3,conn1,conn2,rs1,rs2,x5,x6,x7,arg1raw,arg1span,arg1_uttid,x9,x10,x11,arg2raw,arg2span,arg2_uttid,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,incomplete,relstart,EN_conn_utt,NP_conn_utt,EN_arg1_utt,EN_arg2_utt,Arg1_RawText,Arg2_RawText,EN_conn_utt_span,EN_arg1_utt_span,EN_arg2_utt_span,Arg1_SpanList,Arg2_SpanList,NP_conn_utt_span,Relation,Conn1,Conn2,ConnHeadSemClass1,Conn2SemClass1,ConnHeadSemClass2,Conn2SemClass2,Arg1_RawText,Arg2_RawText,Arg1_FirstSpanStart,Arg2_FirstSpanStart,FullRawText
ABJ_GWA_14_Mary-Lifestory_MG.txt,test,EntRel,,,,,,0,0,,,,,,"Good, it's good.",8..24,ABJ_GWA_14_Mary-Lifestory_MG__2,,,,Let me talk as a m-... about my life as a mother now as uh... motherhood.,27..100,ABJ_GWA_14_Mary-Lifestory_MG__3,,,,,,,,,,,,,Null,8,,,"Good, it's good.",Let me talk as a m-... about my life as a mother now as uh... motherhood.,Toh na well.,"Make I talk as m-... about my life as moder now, as eh motherhood now.",,8..24,27..100,8..20,23..93,,EntRel,,,,,,,": well, it's good.",I should talk as a m-... about my life as a mother now as uh... motherhood.,8,23,"Arg1_RawText    NaN
Arg1_RawText    NaN
Arg2_RawText    NaN
Arg2_RawText    NaN
Name: 0, dtype: object"
ABJ_GWA_14_Mary-Lifestory_MG.txt,test,Implicit,,,,,,to provide background information,0,Expansion.Level-of-detail.Arg2-as-detail,,,,,Let me talk as a m-... about my life as a mother now as uh... motherhood.,27..100,ABJ_GWA_14_Mary-Lifestory_MG__3,,,,I just gave birth uh... like seven months ago.,103..149,ABJ_GWA_14_Mary-Lifestory_MG__4,,,,,,,,,,,,,Null,27,,,Let me talk as a m-... about my life as a mother now as uh... motherhood.,I just gave birth uh... like seven months ago.,"Make I talk as m-... about my life as moder now, as eh motherhood now.",I just born now eh like seven months.,,27..100,103..149,23..93,96..133,,Implicit,more specifically,,Expansion.Level-of-detail.Arg2-as-detail,,,,I should talk as a m-... about my life as a mother now as uh... motherhood.,: I just gave birth uh... like seven months ago.,23,96,"Arg1_RawText    NaN
Arg1_RawText    NaN
Arg2_RawText    NaN
Arg2_RawText    NaN
Name: 1, dtype: object"
ABJ_GWA_14_Mary-Lifestory_MG.txt,test,Implicit,,,,,,previously,and,Temporal.Asynchronous.Succession,Expansion.Conjunction,,,,I just gave birth uh... like seven months ago.,103..149,ABJ_GWA_14_Mary-Lifestory_MG__4,,,,"Kai, when I was pregnant, it was not easy at all.",152..201,ABJ_GWA_14_Mary-Lifestory_MG__5,,,,,,,,,,,,,Null,103,,,I just gave birth uh... like seven months ago.,"Kai, when I was pregnant, it was not easy at all.",I just born now eh like seven months.,"Kai when I dey pregnant, e no dey easy o.",,103..149,152..201,96..133,136..177,,Implicit,previously,,Temporal.Asynchronous.Succession,Expansion.Conjunction,,,: I just gave birth uh... like seven months ago.,"Kai, when I was pregnant, it was difficult.",96,136,"Arg1_RawText    NaN
Arg1_RawText    NaN
Arg2_RawText    NaN
Arg2_RawText    NaN
Name: 2, dtype: object"
ABJ_GWA_14_Mary-Lifestory_MG.txt,test,Implicit,,,,,,indeed,generally,Contingency.Cause.Result,Expansion.Instantiation.Arg1-as-instance,,,,"Kai, when I was pregnant, it was not easy at all.",152..201,ABJ_GWA_14_Mary-Lifestory_MG__5,,,,"Pregnant woman go through some tough times, man!",204..252,ABJ_GWA_14_Mary-Lifestory_MG__6,,,,,,,,,,,,,Null,152,,,"Kai, when I was pregnant, it was not easy at all.","Pregnant woman go through some tough times, man!","Kai when I dey pregnant, e no dey easy o.",Pregnant woman dey hear am chai!,,152..201,204..252,136..177,180..212,,Implicit,indeed,generally,Contingency.Cause.Result,Expansion.Instantiation.Arg1-as-instance,,,"Kai, when I was pregnant, it was difficult.","Pregnant woman hear it, man!",136,180,"Arg1_RawText    NaN
Arg1_RawText    NaN
Arg2_RawText    NaN
Arg2_RawText    NaN
Name: 3, dtype: object"
ABJ_GWA_14_Mary-Lifestory_MG.txt,test,Implicit,,,,,,specifically,for instance,Expansion.Level-of-detail.Arg2-as-detail,Expansion.Instantiation.Arg2-as-instance,,,,"Pregnant woman go through some tough times, man!",204..252,ABJ_GWA_14_Mary-Lifestory_MG__6,,,,"If I don't throw up today, if I don't get dizzy...",255..305,ABJ_GWA_14_Mary-Lifestory_MG__7,,,,,,,,,,,,,Null,204,,,"Pregnant woman go through some tough times, man!","If I don't throw up today, if I don't get dizzy...",Pregnant woman dey hear am chai!,"If I no vomit today, if my eyes no dey turn me...",,204..252,255..305,180..212,215..264,,Implicit,because,for example,Contingency.Cause.Reason,Expansion.Instantiation.Arg2-as-instance,,,"Pregnant woman hear it, man!","If I don't throw up today, if I don't get dizzy...",180,215,"Arg1_RawText    NaN
Arg1_RawText    NaN
Arg2_RawText    NaN
Arg2_RawText    NaN
Name: 4, dtype: object"
ABJ_GWA_14_Mary-Lifestory_MG.txt,test,Implicit,,,,,,in sum,generally,Expansion.Level-of-detail.Arg1-as-detail,Expansion.Instantiation.Arg1-as-instance,,,,"If I don't throw up today, if I don't get dizzy...",255..305,ABJ_GWA_14_Mary-Lifestory_MG__7,,,,"Mtschew, it was not easy at all, at all, man!",308..353,ABJ_GWA_14_Mary-Lifestory_MG__8,,,,,,,,,,,,,Null,255,,,"If I don't throw up today, if I don't get dizzy...","Mtschew, it was not easy at all, at all, man!","If I no vomit today, if my eyes no dey turn me...","Mtschew e no dey easy at all, at all kai!",,255..305,308..353,215..264,267..308,,Implicit,in sum,generally,Expansion.Level-of-detail.Arg1-as-detail,Expansion.Instantiation.Arg1-as-instance,,,"If I don't throw up today, if I don't get dizzy...","Mtschew, it's not easy at all, at all, man!",215,267,"Arg1_RawText    NaN
Arg1_RawText    NaN
Arg2_RawText    NaN
Arg2_RawText    NaN
Name: 5, dtype: object"
ABJ_GWA_14_Mary-Lifestory_MG.txt,test,Implicit,,,,,,so,0,Contingency.Cause.Result,,,,,I couldn't do anything.,401..424,ABJ_GWA_14_Mary-Lifestory_MG__10,,,,My husband felt really bad for me.,427..461,ABJ_GWA_14_Mary-Lifestory_MG__11,,,,,,,,,,,,,Null,401,,,I couldn't do anything.,My husband felt really bad for me.,I no fit do anytin.,My husband just dey pity me.,,401..424,427..461,342..361,364..392,,Implicit,and,as a result,Expansion.Conjunction,Contingency.Cause.Result,,,English : I can't do anything.,: My husband felt really bad for me.,342,364,"Arg1_RawText    NaN
Arg1_RawText    NaN
Arg2_RawText    NaN
Arg2_RawText    NaN
Name: 6, dtype: object"
ABJ_GWA_14_Mary-Lifestory_MG.txt,test,Implicit,,,,,,and,so,Expansion.Conjunction,Contingency.Cause.Result,,,,My husband felt really bad for me.,427..461,ABJ_GWA_14_Mary-Lifestory_MG__11,,,,He was the one helping me out with some things.,464..511,ABJ_GWA_14_Mary-Lifestory_MG__12,,,,,,,,,,,,,Null,427,,,My husband felt really bad for me.,He was the one helping me out with some things.,My husband just dey pity me.,Na im dey help me do some tings.,,427..461,464..511,364..392,395..427,,Implicit,so,,Contingency.Cause.Result,,,,: My husband felt really bad for me.,He helped me out with some things.,364,395,"Arg1_RawText    NaN
Arg1_RawText    NaN
Arg2_RawText    NaN
Arg2_RawText    NaN
Name: 7, dtype: object"
ABJ_GWA_14_Mary-Lifestory_MG.txt,test,EntRel,,,,,,0,0,,,,,,He was the one helping me out with some things.,464..511,ABJ_GWA_14_Mary-Lifestory_MG__12,,,,"Man, all our mothers work really hard.",514..552,ABJ_GWA_14_Mary-Lifestory_MG__13,,,,,,,,,,,,,Null,464,,,He was the one helping me out with some things.,"Man, all our mothers work really hard.",Na im dey help me do some tings.,"Kai our mama dem, de dey try o.",,464..511,514..552,395..427,430..461,,EntRel,,,,,,,He helped me out with some things.,"Kai, our mothers, they do their best.",395,430,"Arg1_RawText    NaN
Arg1_RawText    NaN
Arg2_RawText    NaN
Arg2_RawText    NaN
Name: 8, dtype: object"
ABJ_GWA_14_Mary-Lifestory_MG.txt,test,Implicit,,,,,,indeed,0,Expansion.Equivalence,,,,,"Man, all our mothers work really hard.",514..552,ABJ_GWA_14_Mary-Lifestory_MG__13,,,,They are really working hard.,555..584,ABJ_GWA_14_Mary-Lifestory_MG__14,,,,,,,,,,,,,Null,514,,,"Man, all our mothers work really hard.",They are really working hard.,"Kai our mama dem, de dey try o.","De dey try well, well.",,514..552,555..584,430..461,464..486,,Implicit,in other words,more specifically,Expansion.Equivalence,Expansion.Level-of-detail.Arg2-as-detail,,,"Kai, our mothers, they do their best.",: They do their best really.,430,464,"Arg1_RawText    NaN
Arg1_RawText    NaN
Arg2_RawText    NaN
Arg2_RawText    NaN
Name: 9, dtype: object"
