filename,set,reltype,connspan,conn_raw,conn_uttid,x2,x3,conn1,conn2,rs1,rs2,x5,x6,x7,arg1raw,arg1span,arg1_uttid,x9,x10,x11,arg2raw,arg2span,arg2_uttid,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,incomplete,relstart,EN_conn_utt,NP_conn_utt,EN_arg1_utt,EN_arg2_utt,Arg1_RawText,Arg2_RawText,EN_conn_utt_span,EN_arg1_utt_span,EN_arg2_utt_span,Arg1_SpanList,Arg2_SpanList,NP_conn_utt_span,Relation,Conn1,Conn2,NP_rs1,NP_rs2,ConnHeadSemClass1,Conn2SemClass1,Arg1_FirstSpanStart,Arg2_FirstSpanStart,FullRawText,FileNumber,Section,Conn2SemClass2,ConnHeadSemClass2
ABJ_GWA_02_Market-Food-Church_DG.txt,train,Implicit,,,,,,because,0,Contingency.Cause+SpeechAct.Reason+SpeechAct,,,,,Jesus!,597..603,ABJ_GWA_02_Market-Food-Church_DG__22,,,,Seven thousand for the light we don't have?,606..649,ABJ_GWA_02_Market-Food-Church_DG__23,,,,,,,,,,,,,Null,597,,,Jesus!,Seven thousand for the light we don't have?,Jesus!,Seven thousand for di light wey we no dey see?,,597..603,606..649,583..589,592..638,,,,,,,,,597,606,Jesus! Seven thousand for di light wey we no dey see?,22,22,,
ABJ_GWA_02_Market-Food-Church_DG.txt,train,Implicit,,,,,,and,specifically,Expansion.Conjunction,Expansion.Level-of-detail.Arg2-as-detail,,,,How are you managing?,732..753,ABJ_GWA_02_Market-Food-Church_DG__27,,,,How is your business?,756..777,ABJ_GWA_02_Market-Food-Church_DG__28,,,,,,,,,,,,,Null,732,,,How are you managing?,How is your business?,Toh how you dey manage now?,How your business?,,732..753,756..777,714..741,744..762,,,,,,,,,732,756,Toh how you dey manage now? How your business?,27,22,,
ABJ_GWA_02_Market-Food-Church_DG.txt,train,Implicit,,,,,,so,0,Contingency.Cause+SpeechAct.Result+SpeechAct,,,,,"My sister, I'm managing.",780..804,ABJ_GWA_02_Market-Food-Church_DG__29,,,,Thank God.,807..817,ABJ_GWA_02_Market-Food-Church_DG__30,,,,,,,,,,,,,Null,780,,,"My sister, I'm managing.",Thank God.,"My sister, I dey manage am.",Thank God!,,780..804,807..817,765..792,795..805,,,,,,,,,780,807,"My sister, I dey manage am. Thank God!",29,22,,
ABJ_GWA_02_Market-Food-Church_DG.txt,train,Implicit,,,,,,0,0,Reformulation,,,,,There is one...,854..869,ABJ_GWA_02_Market-Food-Church_DG__33,,,,There is a kind of dish that Mama Maro taught me.,872..921,ABJ_GWA_02_Market-Food-Church_DG__34,,,,,,,,,,,,,arg1-incomplete,854,,,There is one...,There is a kind of dish that Mama Maro taught me.,Toh e get one...,E get one soup like dat wey Mama Maro bin teach me.,,854..869,872..921,841..857,860..911,,,,,,,,,854,872,Toh e get one... E get one soup like dat wey Mama Maro bin teach me.,33,22,,
ABJ_GWA_02_Market-Food-Church_DG.txt,train,Implicit,,,,,,plus,0,Expansion.Conjunction,,,,,There is a kind of dish that Mama Maro taught me.,872..921,ABJ_GWA_02_Market-Food-Church_DG__34,,,,The dish is good.,924..941,ABJ_GWA_02_Market-Food-Church_DG__35,,,,,,,,,,,,,Null,872,,,There is a kind of dish that Mama Maro taught me.,The dish is good.,E get one soup like dat wey Mama Maro bin teach me.,Di soup make sense.,,872..921,924..941,860..911,914..933,,,,,,,,,872,924,E get one soup like dat wey Mama Maro bin teach me. Di soup make sense.,34,22,,
ABJ_GWA_02_Market-Food-Church_DG.txt,train,Implicit,,,,,,and,0,Expansion.Conjunction,,,,,The dish is good.,924..941,ABJ_GWA_02_Market-Food-Church_DG__35,,,,I heard that it's an Ibo dish.,944..974,ABJ_GWA_02_Market-Food-Church_DG__36,,,,,,,,,,,,,Null,924,,,The dish is good.,I heard that it's an Ibo dish.,Di soup make sense.,I hear sey na Ibo soup.,,924..941,944..974,914..933,936..959,,,,,,,,,924,944,Di soup make sense. I hear sey na Ibo soup.,35,22,,
ABJ_GWA_02_Market-Food-Church_DG.txt,train,EntRel,,,,,,0,0,,,,,,Ehn!,993..997,ABJ_GWA_02_Market-Food-Church_DG__39,,,,I know you'll like it.,1000..1022,ABJ_GWA_02_Market-Food-Church_DG__40,,,,,,,,,,,,,Null,993,,,Ehn!,I know you'll like it.,Ehn!,I know sey you go like am.,,993..997,1000..1022,976..980,983..1009,,,,,,,,,993,1000,Ehn! I know sey you go like am.,39,22,,
ABJ_GWA_02_Market-Food-Church_DG.txt,train,EntRel,,,,Null,Null,0,0,,,,,,Okay,1114..1118,ABJ_GWA_02_Market-Food-Church_DG__45,Null,Null,Null,"So, it's like I'll come so you and I can do it",1122..1168,ABJ_GWA_02_Market-Food-Church_DG__46,Null,Null,Null,,,,,,,1122,DEFAULT,,Null,1114,,,Okay!,"So, it's like I'll come so you and I can do it.",Okay!,"So it's like I go come, me, and you go, go do am.",,1114..1119,1122..1169,1100..1105,1108..1157,,,,,,,,,1114,1122,"Okay! So it's like I go come, me, and you go, go do am.",45,22,,
ABJ_GWA_02_Market-Food-Church_DG.txt,train,Implicit,,,,,,so,0,Contingency.Cause.Result,,,,,The dish will be good.,1180..1202,ABJ_GWA_02_Market-Food-Church_DG__48,,,,You'll like it a lot.,1205..1226,ABJ_GWA_02_Market-Food-Church_DG__49,,,,,,,,,,,,,Null,1180,,,The dish will be good.,You'll like it a lot.,Di soup go make sense.,"You go like am well, well.",,1180..1202,1205..1226,1168..1190,1193..1219,,,,,,,,,1180,1205,"Di soup go make sense. You go like am well, well.",52,22,,
ABJ_GWA_02_Market-Food-Church_DG.txt,train,Implicit,,,,,,0,0,Reformulation,,,,,So...,1267..1272,ABJ_GWA_02_Market-Food-Church_DG__52,,,,Like can you tell me how they...,1275..1307,ABJ_GWA_02_Market-Food-Church_DG__53,,,,,,,,,,,,,both-incomplete,1267,,,So...,Like can you tell me how they...,So...,Like you fit tell me how de take dey...,,1267..1272,1275..1307,1252..1257,1260..1299,,,,,,,,,1267,1275,So... Like you fit tell me how de take dey...,56,22,,
